Gender,HeightCm,WeightKg
Male,176,66
Male,173,85
Female,163,81
Female,140,79
Male,179,52
Male,156,77
Male,175,73
Male,153,99
Female,140,91
Female,161,91
Female,147,70
Female,159,88
Male,154,53
Female,177,78
Female,157,77
Female,157,52
Female,154,71
Female,167,77
Female,161,97
Male,178,81
Male,160,67
Female,171,53
Female,155,58
Male,166,50
Male,149,77
Female,165,68
Male,141,74
Male,176,61
Male,141,83
Female,166,56
Female,171,57
Female,149,86
Female,140,58
Male,167,92
Male,162,64
Male,163,67
Female,169,88
Male,170,59
Male,160,54
Male,178,92
Female,159,88
Female,166,90
Male,170,92
Female,153,88
Male,149,71
Female,159,58
Male,156,86
Female,148,99
Male,165,69
Male,158,88
Female,169,56
Female,170,89
Female,155,56
Female,171,75
Male,157,76
Female,149,94
Male,179,65
Female,143,92
Female,170,81
Female,142,80
Male,149,87
Female,151,56
Female,145,73
Female,148,76
Male,157,67
Male,158,75
Male,164,54
Male,154,57
Male,172,69
Male,167,74
Female,153,54
Male,153,69
Female,141,60
Male,156,53
Male,178,88
Male,177,62
Female,159,54
Male,144,78
Male,149,90
Female,143,81
Female,169,54
Male,173,76
Male,175,85
Female,147,99
Male,157,66
Female,144,77
Male,153,94
Male,169,61
Female,177,69
Male,158,81
Male,161,96
Female,171,66
Male,157,50
Female,177,95
Male,144,96
Female,142,89
Female,153,71
Male,178,69
Female,168,87
Male,176,98
Male,174,88
Male,151,87
Female,169,53
Female,158,89
Female,145,71
Female,151,95
Female,155,73
Male,163,50
Male,148,70
Male,144,63
Male,146,89
Male,161,67
Male,160,62
Female,176,84
Female,175,65
Male,174,74
Female,150,83
Male,164,53
Male,140,73
Male,157,89
Male,157,86
Female,149,80
Female,178,81
Female,175,67
Male,163,84
Female,161,55
Male,149,64
Male,142,89
Female,175,73
Male,177,51
Male,168,89
Male,161,57
Female,146,91
Male,146,80
Male,140,62
Female,142,82
Female,156,95
Male,167,78
Female,141,81
Male,147,85
Male,170,84
Female,174,55
Male,153,95
Male,178,79
Male,160,54
Female,156,62
Male,140,96
Male,174,79
Male,161,85
Male,176,69
Female,158,99
Female,173,50
Female,169,87
Female,148,61
Female,172,61
Female,140,58
Male,174,75
Male,150,69
Male,154,74
Male,155,88
Male,178,57
Male,175,81
Female,141,69
Female,143,54
Female,176,99
Female,141,67
Female,177,97
Male,157,91
Male,163,95
Female,149,86
Female,166,74
Male,148,61
Male,157,76
Female,167,84
Female,150,96
Male,141,93
Female,143,60
Female,149,76
Male,164,71
Female,170,78
Male,143,81
Male,179,58
Female,146,56
Female,165,68
Male,153,64
Male,170,74
Female,147,70
Female,171,55
Female,154,73
Male,142,80
Female,165,62
Female,152,53
Female,155,58
Female,175,98
Male,179,54
Female,143,61
Male,142,90
Female,158,68
Male,168,52
Male,174,90
Female,176,77
Male,176,76
Female,161,83
Female,175,55
Female,145,63
Male,153,79
Female,160,52
Male,160,88
Male,176,84
Female,155,72
Male,158,94
Female,147,57
Female,155,78
Male,160,90
Female,146,81
Male,154,62
Male,141,91
Female,167,85
Male,165,88
Male,171,87
Male,155,82
Male,159,64
Female,168,50
Male,175,86
Female,147,93
Female,155,64
Female,175,88
Female,140,64
Female,141,56
Female,164,84
Female,163,94
Male,144,96
Female,140,53
Male,169,74
Female,151,56
Female,174,91
Male,166,89
Male,145,92
Male,152,93
Female,162,84
Male,177,93
Female,166,51
Female,174,80
Male,144,83
Female,167,74
Male,152,96
Male,161,93
Female,175,83
Male,155,57
Male,167,90
Female,152,84
Male,161,84
Female,179,91
Female,168,80
Male,159,68
Female,173,98
Female,176,75
Male,156,61
Female,146,94
Female,164,69
Female,146,75
Female,154,89
Female,148,56
Male,170,88
Female,148,92
Female,178,80
Male,154,63
Male,179,51
Male,164,50
Female,148,63
Male,152,60
Female,155,92
Male,154,83
Male,157,75
Female,169,85
Female,166,70
Female,159,58
Female,160,69
Male,162,95
Male,143,98
Female,179,98
Female,159,78
Female,151,94
Female,168,56
Male,171,84
Female,177,75
Male,172,82
Male,168,86
Female,155,83
Male,165,66
Male,175,86
Female,165,93
Female,157,56
Female,154,98
Female,144,79
Male,165,95
Female,166,68
Male,161,96
Female,179,84
Male,159,87
Female,156,68
Female,142,80
Female,164,77
Male,177,63
Female,162,59
Male,155,57
Female,168,60
Male,143,78
Female,161,91
Male,174,53
Female,156,87
Male,166,82
Female,165,78
Male,156,80
Male,159,60
Female,151,89
Female,158,56
Female,164,82
Female,168,55
Male,147,60
Male,164,79
Male,167,87
Male,140,98
Female,178,56
Male,171,61
Female,145,82
Male,162,90
Female,141,89
Male,154,90
Female,173,82
Male,141,65
Male,172,52
Female,178,74
Male,179,67
Female,153,62
Male,172,59
Female,157,62
Female,159,83
Female,165,72
Male,157,51
Female,150,95
Male,141,85
Female,172,66
Female,173,87
Male,167,53
Male,143,87
Female,159,70
Female,142,95
Male,159,76
Male,148,55
Male,148,97
Female,161,78
Male,145,85
Female,140,68
Female,141,93
Male,177,69
Female,163,72
Female,168,83
Female,172,72
Female,157,63
Female,140,58
Male,176,95
Male,161,93
Male,164,87
Female,143,86
Female,142,97
Male,165,71
Male,171,97
Female,156,60
Male,159,70
Male,151,82
Female,165,54
Female,170,81
Female,166,51
Male,155,66
Female,167,70
Male,149,95
Male,157,71
Female,160,93
Male,147,63
Female,154,66
Female,156,86
Male,159,85
Female,166,51
Female,163,78
Female,146,66
Male,141,92
Male,160,97
Female,142,99
Female,159,98
Male,176,93
Male,171,82
Male,144,97
Male,174,72
Female,164,96
Female,177,70
Female,155,72
Female,172,66
Male,163,56
Female,164,91
Female,173,55
Female,165,76
Female,164,53
Female,166,92
Female,167,83
Female,143,77
Male,149,84
Male,140,77
Female,174,61
Female,173,54
Female,147,73
Female,166,74
Male,152,66
Female,168,92
Female,157,78
Female,176,91
Female,160,52
Male,142,76
Male,144,51
Male,147,95
Male,161,79
Male,150,83
Female,168,70
Male,166,70
Male,151,93
Male,176,93
Female,154,85
Female,159,85
Female,162,94
Male,152,52
Female,177,88
Female,145,54
Female,144,79
Male,170,57
Male,140,53
Male,144,58
Male,161,59
Male,167,61
Male,165,84
Female,150,80
Female,155,80
Female,149,70
Female,155,75
Female,145,70
Male,160,60
Male,155,52
Female,178,62
Female,171,89
Female,156,72
Female,144,50
Female,175,90
Male,167,76
Female,147,50
Female,158,55
Male,167,60
Male,171,95
Female,174,81
Female,169,89
Female,175,82
Male,145,94
Female,164,76
Male,153,80
Male,148,55
Male,141,77
Male,154,86
Female,154,98
Female,159,63
Male,163,76
Female,153,62
Male,155,75
Female,158,93
Male,150,71
Male,151,55
Male,178,63
Male,147,57
Female,162,61
Female,157,53
Male,151,76
Female,168,65
Male,140,92
Female,166,96
Male,151,77
Male,150,70
Male,144,50
Female,162,61
Female,162,51
Male,172,94
Female,147,61
Female,141,54
Male,142,77
Male,162,77
Male,161,92
Female,176,71
Female,143,84
Male,165,52
Male,177,68
Female,162,95
Female,165,64
Female,152,67
Male,158,82
Male,177,60
Female,140,78
Female,157,96
Female,142,82
Female,148,81
Female,174,78
Male,160,53
Male,152,86
Male,146,65
Male,160,69
Male,175,63
Male,175,75
Female,157,70
Male,148,61
Male,167,53
Male,159,83
Female,156,84
Male,166,78
Female,165,89
Male,165,60
Male,175,61
Male,174,67
Male,170,80
Male,175,62
Male,141,61
Female,155,79
Male,174,62
Female,165,59
Female,166,92
Male,149,73
Female,176,74
Male,165,85
Female,160,64
Female,178,62
Female,142,81
Female,171,80
Female,176,68
Female,153,76
Female,143,62
Female,166,58
Male,152,70
Female,162,91
Female,155,55
Female,145,87
Male,142,63
Female,147,69
Female,144,67
Male,140,60
Male,163,65
Female,170,75
Female,153,75
Female,142,74
Female,167,69
Male,157,76
Male,158,79
Female,152,54
Female,149,61
Female,157,94
Female,153,79
Male,144,51
Female,141,56
Female,165,78
Male,168,88
Female,155,92
Female,172,78
Female,160,58
Male,150,81
Male,165,72
Male,168,93
Male,151,92
Female,147,94
Male,159,85
Male,168,88
Male,159,67
Male,153,75
Female,152,84
Male,145,99
Female,150,71
Female,149,82
Male,164,85
Female,147,52
Female,176,64
Male,178,50
Female,150,55
Male,174,68
Male,170,70
Male,152,50
Female,154,51
Male,179,77
Male,178,97
Female,171,64
Male,175,91
Male,176,55
Male,144,50
Female,151,55
Female,158,70
Male,163,80
Female,151,64
Male,140,69
Female,157,75
Female,149,67
Female,173,72
Female,162,71
Male,167,53
Male,177,57
Male,141,65
Female,170,53
Male,148,90
Male,168,50
Female,158,67
Male,176,94
Male,149,55
Male,159,96
Female,179,84
Male,153,82
Female,160,52
Female,175,86
Male,142,60
Female,164,55
Female,150,78
Female,157,67
Male,153,86
Female,156,99
Female,164,60
Female,140,82
Male,143,73
Male,175,59
Female,168,60
Male,150,53
Female,178,63
Male,173,97
Male,150,66
Female,172,77
Male,156,89
Female,169,78
Female,156,56
Male,149,79
Female,175,59
Female,144,94
Female,140,62
Male,140,73
Male,172,97
Female,164,50
Female,175,80
Male,166,62
Female,158,90
Female,172,78
Male,157,53
Male,145,65
Male,165,75
Male,161,82
Male,175,51
Female,153,61
Male,148,75
Female,177,91
Male,168,59
Female,148,85
Male,173,91
Male,176,53
Male,149,73
Female,150,93
Male,172,99
Male,159,51
Female,146,55
Male,145,62
Male,170,94
Female,177,95
Female,169,82
Male,172,57
Male,140,58
Female,153,80
Female,146,96
Female,177,56
Male,166,70
Male,158,55
Female,145,85
Female,168,81
Female,163,50
Female,168,82
Female,162,87
Male,150,79
Female,178,83
Female,152,50
Female,147,78
Male,161,59
Female,158,58
Female,154,70
Female,171,51
Female,155,91
Male,143,81
Female,175,98
Male,148,56
Male,152,62
Male,169,61
Male,157,56
Male,158,86
Female,170,60
Male,145,69
Male,169,84
Female,163,65
Female,150,95
Female,169,62
Male,179,60
Male,142,78
Female,145,64
Female,167,71
Male,155,65
Male,179,93
Female,151,62
Female,151,75
Female,142,63
Male,142,95
Male,173,98
Male,160,87
Male,157,85
Female,165,72
Female,154,60
Female,145,70
Male,173,54
Female,157,72
Female,171,57
Female,156,52
Female,178,79
Female,169,80
Female,176,70
Male,156,95
Female,172,90
Male,178,99
Male,144,68
Female,164,81
Female,174,78
Female,141,89
Male,149,75
Male,147,73
Female,166,78
Female,154,78
Male,177,63
Male,151,90
Male,153,61
Female,179,54
Male,153,54
Male,149,52
Male,178,90
Male,173,84
Male,157,79
Male,141,64
Male,164,63
Female,145,65
Male,154,55
Female,140,93
Male,156,97
Male,167,99
Male,141,52
Male,140,78
Male,156,74
Female,179,60
Male,149,99
Male,161,53
Female,163,86
Female,164,59
Female,152,55
Male,163,72
Male,143,80
Male,172,58
Male,165,57
Female,147,79
Female,153,94
Male,145,90
Male,163,85
Female,150,58
Male,167,69
Male,150,94
Female,145,66
Male,163,94
Male,179,95
Female,152,71
Female,178,88
Female,146,93
Male,144,52
Female,165,75
Female,159,79
Female,177,69
Male,150,72
Male,142,93
Female,156,98
Female,166,91
Male,159,83
Male,168,75
Female,174,80
Male,143,76
Female,171,57
Female,163,92
Male,145,58
Male,158,69
Female,156,70
Female,160,53
Female,162,59
Female,162,73
Female,167,82
Female,166,76
Female,159,66
Male,143,67
Male,152,88
Female,141,64
Male,173,61
Female,149,78
Female,149,85
Male,179,79
Female,161,60
Male,160,90
Male,165,81
Male,149,57
Female,165,94
Female,140,89
Male,160,80
Female,176,62
Male,143,86
Male,178,82
Male,171,66
Male,148,64
Male,148,54
Male,173,64
Female,143,78
Female,141,72
Female,143,70
Female,148,93
Female,145,80
Male,150,83
Female,154,86
Female,144,54
Female,146,81
Male,179,83
Female,172,85
Male,158,91
Male,169,94
Female,148,94
Male,154,92
Female,161,74
Male,176,64
Male,147,55
Female,146,50
Female,145,77
Female,174,67
Female,143,58
Male,150,99
Male,156,85
Female,160,56
Female,146,91
Male,161,89
Female,150,59
Female,169,68
Female,153,55
Male,161,77
Female,175,83
Female,161,92
Male,143,83
Male,154,51
Male,142,56
Female,166,69
Female,151,85
Male,177,95
Female,154,62
Female,177,84
Male,160,84
Male,161,72
Male,146,60
Male,163,73
Male,168,87
Male,141,78
Female,177,56
Female,141,52
Male,150,50
Female,154,80
Female,159,62
Male,176,69
Female,167,80
Female,147,57
Male,157,75
Female,158,78
Female,147,65
Male,161,53
Female,162,53
Female,177,52
Male,177,64
Female,166,59
Female,159,91
Female,171,82
Male,154,99
Male,177,50
Female,170,74
Male,151,59
Male,158,92
Female,151,97
Female,140,63
Female,171,80
Male,140,65
Female,178,76
Female,140,84
Female,171,85
Male,174,88
Female,167,67
Female,150,57
Female,142,60
Male,140,69
Male,170,93
Female,148,63
Male,144,84
Male,153,52
Male,179,61
Male,158,92
Female,156,96
Male,163,74
Male,170,86
Female,170,67
Female,171,64
Male,175,59
Male,169,95
Male,160,84
Female,178,69
Female,146,54
Male,158,64
Male,147,95
Female,141,75
Female,153,90
Male,159,68
Female,154,83
Female,179,89
Male,150,61
Male,154,91
Male,160,91
Female,178,79
Male,168,98
Female,158,93
Female,143,63
Female,149,94
Female,177,80
Female,172,57
Female,149,67
Female,150,77
Male,156,98
Female,153,65
Female,143,79
Female,175,93
Male,172,58
Female,153,74
Male,141,58
Female,141,60
Male,169,65
Female,168,78
Male,154,62
Female,173,51
Male,163,98
Female,166,56
Female,140,51
Male,162,63
Male,146,91
Female,160,75
Female,152,74
Female,140,90
Female,152,56
Female,165,92
Male,172,70
Male,140,81
Male,158,60
Male,145,81
Male,176,72
Female,168,52
Male,167,95
Female,148,64
Male,171,94
Male,143,79
Male,153,76
Female,158,98
Male,145,79
Male,165,65
Male,159,63
Male,167,66
Female,147,96
Female,177,96
Female,155,79
Male,147,59
Female,164,80
Female,152,65
Male,151,63
Male,164,60
Female,171,77
Male,159,88
Male,164,51
Female,148,55
Female,159,52
Female,163,92
Female,140,91
Male,172,95
Male,170,71
Female,174,51
Male,177,65
Male,148,54
Female,146,51
Male,168,88
Female,177,81
Female,146,86
Female,157,80
Male,150,93
Male,150,90
Female,159,56
Female,152,80
Male,165,60
Female,177,52
Female,171,67
Female,144,60
Female,178,81
Female,177,84
Male,151,69
Male,144,79
Female,156,96
Male,145,89
Male,141,64
Female,160,69
Female,158,69
Male,150,73
Female,145,74
Female,163,62
Male,176,92
Female,178,72
Male,155,55
Male,165,74
Male,173,53
Female,154,56
Male,143,66
Male,177,97
Male,174,57
Female,154,96
Male,163,91
Female,168,67
Male,162,95
Female,151,61
Female,175,66
Female,157,63
Female,141,68
Male,170,59
Female,178,54
Male,175,83
Male,147,54
Female,147,82
Male,171,55
Male,159,94
Female,177,64
Female,162,69
Male,157,55
Male,162,90
Female,163,73
Male,149,58
Male,163,72
Male,175,69
Male,150,97
Female,142,78
Female,141,53
Female,172,73
Male,146,90
Female,172,55
Male,176,95
Female,175,75
Female,170,57
Female,146,96
Male,152,55
Male,164,75
Male,158,81
Male,166,87
Male,169,54
Female,148,53
Female,177,91
Female,142,82
Female,179,61
Female,143,82
Male,142,53
Female,176,96
Male,163,99
Male,177,75
Male,177,58
Female,154,54
Female,178,51
Female,160,66
Male,147,98
Female,150,55
Male,151,58
Female,152,70
Male,161,73
Male,176,81
Female,156,92
Female,158,89
Male,176,65
Male,154,92
Female,163,50
Male,153,80
Male,176,56
Female,140,73
Male,150,86
Female,158,53
Male,174,95
Male,147,67
Female,175,74
Male,166,97
Male,168,76
Female,144,84
Female,149,63
Female,168,67
Male,171,60
Female,159,50
Male,175,51
Female,151,71
Female,157,76
Female,153,86
Male,165,82
Female,173,92
Female,169,87
Female,150,96
Male,168,62
Male,144,59
Male,161,62
Male,171,70
Female,163,75
Male,146,76
Female,169,79
Male,155,66
Female,152,68
Female,162,74
Female,145,65
Female,145,56
Male,147,85
Male,160,67
Female,169,66
Male,163,76
Male,154,51
Female,158,77
Female,168,86
Male,145,66
Male,161,82
Female,154,89
Male,164,73
Female,172,96
Female,152,58
Female,145,58
Female,158,57
Female,141,92
Female,157,84
Female,155,83
Male,154,63
Male,166,66
Male,149,80
Male,165,82
Male,169,51
Female,166,64
Female,149,62
Female,175,73
Male,152,84
Male,175,56
Female,176,74
Female,149,92
Male,172,74
Female,143,56
Male,166,74
Male,154,60
Female,162,58
Female,145,56
Female,158,55
Male,176,89
Female,148,97
Female,146,70
Female,160,54
Female,159,82
Female,161,76
Male,148,61
Female,156,71
Female,146,77
Male,143,80
Male,172,90
Male,153,76
Female,140,94
Female,153,60
Male,176,82
Male,146,97
Female,153,59
Female,145,99
Female,169,58
Male,140,55
Male,170,92
Male,167,96
Female,150,60
Male,171,53
Male,140,83
Male,151,57
Female,162,73
Female,169,52
Female,159,72
Female,141,73
Male,169,61
Male,150,74
Female,172,94
Male,169,63
Male,161,83
Female,172,52
Female,161,92
Female,179,81
Female,170,61
Female,154,63
Female,153,58
Female,177,56
Female,175,90
Female,144,88
Female,140,79
Female,169,64
Female,143,84
Female,152,57
Male,165,95
Male,161,96
Female,171,89
Female,171,72
Female,150,77
Male,159,88
Female,143,56
Female,165,66
Male,154,75
Female,162,75
Male,149,86
Male,177,51
Male,166,96
Male,140,60
Female,174,55
Female,173,66
Female,140,50
Female,146,53
Male,161,52
Female,148,62
Female,161,87
Female,160,75
Male,172,99
Male,140,86
Male,144,77
Female,160,60
Female,158,94
Female,146,67
Female,176,78
Male,148,97
Male,146,76
Male,149,59
Male,148,60
Female,147,70
Male,142,81
Male,142,86
Male,146,50
Female,161,75
Male,165,92
Male,149,92
Female,173,68
Male,164,78
Female,157,94
Female,142,79
Male,179,65
Male,175,74
Female,171,96
Female,150,67
Female,164,55
Male,159,98
Male,169,89
Female,161,92
Male,169,50
Male,168,68
Male,154,54
Female,165,75
Female,147,65
Female,171,89
Female,168,99
Female,162,80
Female,179,56
Male,150,54
Male,172,77
Male,177,54
Male,166,79
Male,152,66
Male,176,98
Female,146,86
Male,159,77
Male,153,99
Male,141,97
Male,159,73
Female,168,73
Female,144,77
Female,163,75
Female,141,50
Male,173,68
Female,157,54
Male,172,86
Female,157,66
Female,163,71
Female,175,66
Male,179,99
Female,165,70
Male,151,62
Male,148,89
Male,157,79
Male,163,64
Female,162,99
Female,166,69
Male,157,77
Female,172,57
Female,170,62
Female,168,67
Female,171,58
Female,147,69
Female,156,97
Female,146,91
Female,148,66
Female,152,73
Female,179,78
Male,142,90
Male,169,87
Male,161,92
Male,163,64
Male,173,52
Female,146,86
Female,145,53
Female,144,77
Female,154,69
Female,163,82
Male,157,68
Male,148,50
Male,148,98
Male,169,86
Male,169,71
Male,141,80
Male,148,58
Male,146,52
Female,178,88
Female,160,65
Male,148,57
Male,164,80
Female,144,93
Male,159,95
Male,153,84
Female,163,99
Female,156,65
